,candidate,text,sentiment
0,Bernie Sanders,"Those who aren’t a part of the Campus Corps Program 🚨 

May you all fill out this quick survey? The purpose is to h… https://t.co/So5wsaQUOQ",positive
1,Bernie Sanders,https://t.co/VdPbB6z3fY,neutral
2,Bernie Sanders,Bernie Sanders’ first grade recitation partner. https://t.co/XVLEifx9aV,positive
3,Bernie Sanders,"Linda Sarsour Is Too Antisemitic For The Women’s March, But Not For Bernie Sanders https://t.co/RzvlaauX20",neutral
4,Bernie Sanders,"For the record, Bernie Sanders has extensive support and is still extremely popular today across a wide range of de… https://t.co/wKYJjOlyjm",positive
5,Bernie Sanders,@AlissaVierra @DinahBernista @J7_TreeOfLibrty @TeeThirtyFour @socalmd54 @JordanUhl No baggage??? There’s some women… https://t.co/A6IHo6hhQe,neutral
6,Bernie Sanders,RT @GJPelhBFStringf: @HMLoeschMcK That was hilarious. Twitter should be that fun. Too much drama here. And only one vote each. People who v…,positive
7,Bernie Sanders,@BCG_John Bernie sanders is honest,positive
8,Bernie Sanders,@HMLoeschMcK That was hilarious. Twitter should be that fun. Too much drama here. And only one vote each. People wh… https://t.co/z1TgipYx46,positive
9,Bernie Sanders,"For those who aren’t a part of the HBCU Campus Corps Program 🚨 

May you all fill out this quick survey? The purpos… https://t.co/utZNNtVOVV",positive
10,Bernie Sanders,If I could marry ANY woman it would be Bernie Sanders,neutral
11,Bernie Sanders,RT @GlynDalek: Bernie Sanders Get BIG Endorsement https://t.co/LeDAkVaNyn via @YouTube,neutral
12,Bernie Sanders,Bernie Sanders Get BIG Endorsement https://t.co/LeDAkVaNyn via @YouTube,neutral
13,Bernie Sanders,"RT @CBS_42: LIVE NOW: 2020 Presidential Candidate Senator Bernie Sanders hosts a Town Hall in Gardnerville, Nevada.

https://t.co/7RcNwkVNa…",positive
14,Bernie Sanders,"LIVE NOW: 2020 Presidential Candidate Senator Bernie Sanders hosts a Town Hall in Gardnerville, Nevada.… https://t.co/JKnXC3AYPI",positive
